Username (Penjual),,,,,,,,,Dari,Ke
pixelten,,,,,,,,,12/1/17,3/1/18
,,,,,,,,,,
,,,,,,,,,,
No. Urut,No. Pesanan,Username (Pembeli),Waktu Pesanan Dibuat,Tanggal Dana Dilepaskan,Harga asli produk,Harga Promo Toko,Ongkos Kirim Dibayarkan oleh Pembeli,Subsidi Ongkos Kirim,Ongkos Kirim yang diteruskan oleh Shopee kepada Kurir,Total Dana untuk Penjual (Rp)
1,18022810064701D,dannydjoko,2/28/18,3/1/18,96000,0,0,10000,-10000,96000
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
